holder_id,target_id,label
1723,92,1
1724,76,1
1725,878,1
1726,976,1
1727,923,1
1728,551,1
1729,447,1
1730,976,1
1731,76,-1
1732,976,1
1733,104,1
1734,422,1
1735,24,1
1736,1116,1
1737,739,1
1738,15,-1
1739,364,-1
1740,15,1
1741,1183,1
1742,17,1
1743,724,1
1744,1116,1
1745,1126,1
1746,1126,1
1747,1030,1
1748,1126,1
1749,66,1
1750,52,1
1751,526,1
1752,53,1
1753,1445,1
1754,931,1
1755,976,1
1756,1445,1
1757,739,1
1758,386,1
1759,1445,1
1760,76,1
1761,825,1
1762,16,1
1763,889,1
1764,670,1
1765,1116,1
1766,1445,1
1767,878,-1
1768,698,1
1769,66,1
1770,492,1
1771,116,1
1772,739,1
1773,139,1
1774,343,1
1775,386,1
1776,409,1
1777,1648,1
1778,479,1
1779,139,1
1780,254,1
1781,294,1
1782,1116,1
1783,52,1
1784,610,1
1785,92,1
1786,1445,1
1787,41,1
1787,280,1
1787,197,1
1788,100,1
1789,1126,1
1790,261,1
1791,150,1
1792,53,1
1793,17,1
1793,230,1
1794,1679,1
1795,859,1
1796,92,1
1797,57,1
1798,1484,1
1799,1043,1
1800,6,1
1801,92,1
1802,17,-1
1803,1445,1
1804,360,1
1805,195,1
1806,76,1
1807,753,1
1808,789,1
1809,81,1
1810,561,1
1811,660,1
1812,198,-1
1813,76,1
1814,126,1
1815,16,1
1816,402,1
1817,931,1
1818,126,1
1819,4,1
1820,17,1
1821,1108,1
1822,16,1
1823,53,1
1824,76,1
1825,316,1
1826,6,1
1827,5,1
1828,1505,1
1829,17,1
1830,85,1
1831,5,1
1832,76,1
1833,976,1
1834,117,1
1835,412,1
1836,230,1
1837,836,-1
1838,6,1
1839,66,1
1840,668,1
1841,54,1
1842,186,1
1843,342,1
1837,660,1
1844,6,-1
1845,551,1
1846,402,1
1847,1086,1
1848,325,1
1849,976,1
1850,256,1
1851,88,1
1852,449,1
1853,76,-1
1854,148,1
1855,878,1
1856,54,1
1857,1126,1
1858,1081,1
1859,25,1
1860,17,1
1861,572,1
1862,14,1
1863,572,1
1864,739,1
1865,6,1
1866,878,1
1867,655,1
1868,869,-1
1869,1564,1
1870,13,1
1871,342,1
1872,342,1
1873,976,-1
1874,52,1
1875,66,1
1876,92,1
1877,1257,1
1878,256,1
1879,100,1
1880,118,1
1881,310,1
1882,35,1
1883,1170,1
1884,45,1
1885,260,1
1886,889,1
1887,402,1
1888,994,1
1889,1170,1
1890,171,1
1891,174,1
1892,1445,1
1893,35,1
1894,17,1
1895,1090,1
1896,45,1
1897,878,1
1898,768,1
1899,54,1
1900,1445,1
1901,100,1
1879,976,1
1902,17,1
1903,1116,1
1904,348,1
1905,255,1
1906,668,1
1907,115,-1
1908,1170,-1
1909,525,1
1910,668,1
1911,6,1
1912,6,-1
1913,104,1
1914,35,1
1915,215,1
1916,16,1
1917,1385,1
1918,386,1
1919,6,1
1920,797,1
1921,3,-1
1922,1651,1
1923,76,1
1924,53,1
1925,525,1
1926,931,1
1927,444,1
1928,260,1
1929,1126,1
1930,878,1
1931,115,-1
1932,259,1
1933,151,1
1934,1559,1
1935,1311,1
1936,1311,1
1937,931,1
1938,124,1
1938,16,1
1938,69,1
1939,53,1
1940,37,1
1941,27,1
1942,267,1
1943,632,1
1944,35,1
1945,1385,1
1942,505,1
1946,6,1
1947,1170,1
1948,931,-1
1949,739,1
1950,5,1
1951,174,1
1951,476,1
1952,76,1
1953,1014,1
1954,115,1
1955,66,1
1956,1126,1
1957,1079,1
1958,76,1
1959,86,1
1960,162,1
1961,354,1
1962,1126,1
1963,174,1
1964,799,-1
1965,17,1
1966,1721,1
1967,177,-1
1968,16,1
1969,6,1
1970,96,1
1971,1126,1
1972,3,1
1973,115,-1
1974,27,1
1975,62,1
1976,22,1
1977,315,1
1978,76,1
1979,572,1
1980,17,1
1981,45,1
1982,640,1
1983,66,1
1984,5,1
1985,27,1
1986,27,1
1987,53,1
1988,461,1
1989,17,1
1990,37,1
1991,8,1
1992,668,1
1963,476,1
1993,3,1
1994,1126,1
1995,62,1
1996,115,1
1997,172,1
1998,115,-1
1999,931,1
2000,5,1
2001,223,1
2002,76,1
2003,309,1
2004,305,1
2005,53,1
2006,739,-1
2007,180,-1
2008,457,1
2009,78,1
2010,519,1
2011,260,1
2012,1090,1
2013,1601,1
2014,174,1
2014,476,1
2015,115,1
2016,92,1
2017,726,1
2018,177,1
2019,1578,1
2020,476,1
2021,295,1
2022,1074,1
2023,1126,1
2024,27,1
2025,76,1
2026,444,-1
2027,1257,1
2028,931,1
2029,45,1
2030,1054,1
2031,177,1
2032,5,1
2033,76,1
2034,5,1
2035,17,1
2036,976,1
2037,4,1
2038,6,1
2039,6,1
2040,1074,1
2041,6,1
2042,878,1
2043,676,1
2044,619,1
2045,6,1
2046,35,1
2047,519,1
2048,260,1
2049,386,1
2050,35,1
2051,5,1
2052,976,1
2053,333,-1
2054,878,1
2055,364,1
2056,76,1
2057,76,-1
2058,698,1
2059,115,1
2060,6,1
2061,5,1
2062,35,1
2063,976,1
2064,878,1
2065,402,1
2066,6,1
2067,260,1
2068,6,1
2069,76,1
2070,6,1
2071,1074,1
2072,5,1
2073,35,1
2074,976,1
2075,934,1
2076,76,1
2077,934,1
2078,5,1
2079,6,1
2080,1074,1
2081,1447,1
2082,619,1
2083,17,1
2084,22,1
2085,27,-1
2086,76,1
2087,801,1
2088,27,1
2089,1721,1
2090,54,1
2091,1721,1
2092,92,1
2093,76,1
2094,104,1
2095,426,1
2096,1721,1
2097,6,1
2098,215,1
2099,660,1
2100,671,1
2101,660,1
2102,520,1
2103,6,1
2104,106,1
2105,76,1
2106,561,1
2107,17,1
2108,295,1
2109,17,1
2110,1445,1
2111,50,1
2112,66,1
2113,45,1
2114,525,1
2115,976,1
2116,81,1
2117,6,1
2118,53,1
2119,724,1
2120,172,1
2121,976,1
2122,369,1
2123,457,1
2124,162,1
2125,86,1
2126,45,-1
2127,1452,1
2128,464,1
2129,388,1
2130,126,1
2131,76,1
2132,1126,1
2133,884,1
2134,100,1
2135,976,1
2136,924,1
2137,1126,1
2138,1587,1
2139,878,1
2140,551,1
2141,27,1
2142,1126,1
2143,115,1
2144,653,1
2145,390,1
2146,364,-1
2146,175,-1
2147,92,1
2148,1266,1
2149,378,1
2150,865,1
2151,1618,1
2152,976,1
2153,878,1
2154,976,1
2155,976,1
2156,254,1
2157,1445,1
2158,660,1
2159,1126,1
2160,1412,1
2161,216,1
2162,343,1
2163,786,1
2164,1714,1
2165,6,1
2166,259,1
2167,1279,1
2168,115,1
2169,1108,1
2170,572,1
2171,1472,1
2172,1491,1
2173,1445,1
2174,931,1
2175,217,1
2123,126,1
2176,1465,1
2177,660,1
2178,233,1
2179,100,1
2180,6,-1
2181,1721,1
2182,45,1
2183,5,1
2184,1195,1
2185,1717,1
2186,1721,1
2187,100,1
2188,525,-1
2189,1126,1
2190,668,1
2191,476,1
2192,1396,1
2193,45,1
2194,754,1
2195,388,1
2196,115,1
2197,93,1
2198,668,1
2199,384,1
2200,27,1
2201,994,1
2202,332,1
2203,236,-1
2204,768,1
2205,1126,1
2206,525,1
2207,6,1
2208,402,1
2209,976,1
2210,6,1
2211,698,1
2212,1687,1
2213,931,1
2214,976,1
2215,88,1
2216,357,1
2217,174,1
2218,1074,1
2219,561,1
